source,temperature_C,MEA_weight_fraction,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data
Bottinger,40.0,0.3,0.762,MEA + MEAH+,0.0807,0.0854442319762945,0.0248092157118974
Jakobsen,40.0,0.3,0.78,MEA + MEAH+,0.0755,0.0873715416911201,0.0634230473770572
Jakobsen,40.0,0.3,0.99,MEA + MEAH+,0.0857,0.1060215558207292,0.0924133510986925
Jakobsen,40.0,0.3,0.11,MEACOO-,0.0103,0.0122886257029828,0.0766660916243994
Bottinger,40.0,0.3,0.125,MEACOO-,0.0144,0.013961756427111,-0.0134224349385801
Bottinger,40.0,0.3,0.205,MEACOO-,0.0241,0.0228673533852337,-0.0228011393017969
Jakobsen,40.0,0.3,0.21,MEACOO-,0.018,0.023422579444946,0.1143622155655853
Bottinger,40.0,0.3,0.236,MEACOO-,0.0271,0.026306454265196,-0.0129069755455551
Jakobsen,40.0,0.3,0.25,MEACOO-,0.0261,0.0278563505410365,0.0282837115800064
Bottinger,40.0,0.3,0.28,MEACOO-,0.0327,0.0311686726772494,-0.0208294444873982
Jakobsen,40.0,0.3,0.29,MEACOO-,0.0284,0.0322693910837649,0.0554724303938715
Bottinger,40.0,0.3,0.343,MEACOO-,0.0396,0.0380592988378944,-0.0172344028583338
Bottinger,40.0,0.3,0.354,MEACOO-,0.041,0.0392474492185245,-0.0189724205127944
Jakobsen,40.0,0.3,0.4,MEACOO-,0.0495,0.0441132403872479,-0.0500362383981219
Bottinger,40.0,0.3,0.46,MEACOO-,0.0492,0.0497367148379698,0.0047119935091539
Bottinger,40.0,0.3,0.466,MEACOO-,0.0502,0.0501882134803387,-0.0001019805073879
Bottinger,40.0,0.3,0.487,MEACOO-,0.0511,0.0512957089143767,0.0016601360735197
Bottinger,40.0,0.3,0.508,MEACOO-,0.0483,0.0514277089536866,0.0272500466721605
Jakobsen,40.0,0.3,0.6,MEACOO-,0.0494,0.0441466573372916,-0.0488291233413636
Bottinger,40.0,0.3,0.663,MEACOO-,0.0347,0.0374770997027613,0.0334364993185703
Bottinger,40.0,0.3,0.683,MEACOO-,0.0323,0.035318078680817,0.0387945474041251
Bottinger,40.0,0.3,0.762,MEACOO-,0.0188,0.0267687062771006,0.1534695331188721
Jakobsen,40.0,0.3,0.78,MEACOO-,0.0388,0.0248342886710391,-0.193780000589188
Jakobsen,40.0,0.3,0.99,MEACOO-,0.0312,0.0057012624017839,-0.7381835640607445
Jakobsen,40.0,0.3,0.11,MEAH+,0.0065,0.012346360765491,0.2786256064282881
Jakobsen,40.0,0.3,0.21,MEAH+,0.016,0.0235703248016122,0.1682455845343296
Jakobsen,40.0,0.3,0.25,MEAH+,0.0218,0.02805991017827,0.1096297828830285
Jakobsen,40.0,0.3,0.29,MEAH+,0.0225,0.0325494952120773,0.1603617396681398
Jakobsen,40.0,0.3,0.4,MEAH+,0.0473,0.0448958453637949,-0.0226549872414305
Jakobsen,40.0,0.3,0.6,MEAH+,0.061,0.0673263535083233,0.0428552580833613
Jakobsen,40.0,0.3,0.78,MEAH+,0.0743,0.0872192790295633,0.0696236786344293
Jakobsen,40.0,0.3,0.99,MEAH+,0.0843,0.1060009222230824,0.0994820690801553
